Timestamp,PressCount
1720567805.598086118,1
1720567806.285006999,2
1720567807.52798271,3
1720567807.917095184,4
1720567808.909276485,5
1720567809.965255022,6
1720567810.701583862,7
1720567811.245486259,8
1720567811.949670314,9
1720567812.608691215,10
1720567813.294299840,11
1720567813.965837478,12
1720567814.878080606,13
1720567815.709957838,14
1720567816.478315353,15
1720567817.150286912,16
1720567817.934223651,17
1720567818.750666856,18
1720567819.710512638,19
1720567820.574523210,20
1720567821.454949617,21
1720567822.175336360,22
1720567822.767454147,23
1720567823.695131540,24
1720567824.591193199,25
1720567825.647596359,26
1720567826.559659719,27
1720567827.503554582,28
1720567828.399747133,29
1720567829.376141786,30
1720567830.304197311,31
1720567831.344415187,32
1720567832.304494857,33
1720567833.280660629,34
1720567834.224257946,35
1720567835.152684450,36
1720567836.96947193,37
1720567837.185076236,38
1720567838.257298469,39
1720567839.201286554,40
1720567840.145262479,41
1720567841.105546712,42
1720567842.227304220,43
1720567843.297739744,44
1720567844.241905689,45
1720567845.58377981,46
1720567845.874295711,47
1720567846.658508539,48
1720567847.779920101,49
1720567848.882624149,50
1720567849.810555696,51
1720567850.722940683,52
1720567851.587104082,53
1720567852.211921215,54
1720567853.107231855,55
1720567854.419044256,56
1720567855.427592992,57
1720567856.355576038,58
1720567857.395733356,59
1720567858.276012182,60
1720567859.284040927,61
1720567860.276376008,62
1720567861.156213283,63
1720567861.860157251,64
1720567862.548016548,65
1720567863.365134239,66
1720567864.548765659,67
1720567865.588850975,68
1720567866.661066532,69
1720567867.653103828,70
1720567868.501199722,71
1720567869.478248119,72
1720567870.485345363,73
1720567871.349362850,74
1720567872.181799888,75
1720567873.77849626,76
1720567874.22170543,77
1720567874.950069665,78
1720567875.829884767,79
1720567876.742284774,80
1720567877.638550043,81
1720567878.902620077,82
1720567879.974982261,83
1720567880.934791326,84
1720567881.846774339,85
1720567882.726949930,86
1720567883.734884023,87
1720567884.679703950,88
1720567885.639506101,89
1720567886.647628784,90
1720567887.575847625,91
1720567888.487664461,92
1720567889.496300220,93
1720567890.376324892,94
1720567891.384370088,95
1720567892.344387054,96
1720567893.288348674,97
1720567894.200588464,98
1720567895.240695714,99
1720567896.280647754,100
1720567897.225204229,101
1720567898.185078382,102
1720567899.97341299,103
1720567900.41328191,104
1720567901.1608848,105
1720567901.945526838,106
1720567902.937446355,107
1720567903.785715103,108
1720567904.729882955,109
1720567905.721937894,110
