Timestamp,BPM
1720567804.219937895,76.0
1720567805.254510531,77.0
1720567806.245552793,77.0
1720567807.234832412,79.0
1720567808.225371861,79.0
1720567809.260058220,81.0
1720567810.294676530,82.0
1720567811.286627353,84.0
1720567812.230538544,85.0
1720567813.264993188,86.0
1720567814.255057603,87.0
1720567815.244895139,87.0
1720567816.235155449,87.0
1720567817.225223491,87.0
1720567818.259836935,86.0
1720567819.250708488,85.0
1720567820.240237981,84.0
1720567821.230793402,83.0
1720567822.221760801,81.0
1720567823.254904691,80.0
1720567824.245331759,80.0
1720567825.235895718,80.0
1720567826.225365798,79.0
1720567827.259939031,78.0
1720567828.249748224,76.0
1720567829.240492513,75.0
1720567830.230253255,74.0
1720567831.220241700,73.0
1720567832.255276188,72.0
1720567833.245281865,71.0
1720567834.234530858,71.0
1720567835.225495894,70.0
1720567836.305157915,69.0
1720567837.251273324,68.0
1720567838.240189066,68.0
1720567839.231039623,67.0
1720567840.220818616,66.0
1720567841.254692896,66.0
1720567842.245699687,65.0
1720567843.235278828,65.0
1720567844.225464182,64.0
1720567845.260064338,63.0
1720567846.250186759,63.0
1720567847.239969543,63.0
1720567848.230029419,64.0
1720567849.219938322,65.0
1720567850.255549925,65.0
1720567851.245199064,64.0
1720567852.235544323,64.0
1720567853.225214286,63.0
1720567854.260546229,64.0
1720567855.250567102,65.0
1720567856.241288501,66.0
1720567857.230757820,65.0
1720567858.220256903,64.0
1720567859.300282996,64.0
1720567860.289992657,64.0
1720567861.279921448,63.0
1720567862.269985537,63.0
1720567863.260583879,63.0
1720567864.294964149,64.0
1720567865.240715505,65.0
1720567866.229923760,66.0
1720567867.219990500,66.0
1720567868.255235438,66.0
1720567869.245651569,65.0
1720567870.234943692,65.0
1720567871.226273665,64.0
1720567872.261072594,64.0
1720567873.250560226,64.0
1720567874.240583499,65.0
1720567875.231070785,65.0
1720567876.220631188,65.0
1720567877.255549563,65.0
1720567878.245402451,65.0
1720567879.236469298,65.0
1720567880.225433213,65.0
1720567881.260929798,64.0
1720567882.250469932,64.0
1720567883.240399191,63.0
1720567884.230627059,63.0
1720567885.220907690,63.0
1720567886.255838033,63.0
1720567887.245736254,63.0
1720567888.235847161,63.0
1720567889.225352085,63.0
1720567890.260710936,63.0
1720567891.250829504,63.0
1720567892.240006707,63.0
1720567893.231432886,63.0
1720567894.220185458,63.0
1720567895.256379796,63.0
1720567896.245701957,63.0
1720567897.235462410,63.0
1720567898.225420882,63.0
1720567899.260793236,63.0
1720567900.250671366,63.0
1720567901.240838679,63.0
1720567902.231200140,63.0
1720567903.221593309,63.0
1720567904.255334423,63.0
1720567905.245975039,63.0
1720567906.236112892,63.0
1720567907.226262397,63.0
