1721797593.87769508,1
1721797594.159595251,2
1721797595.247645854,3
1721797596.383699893,4
1721797597.615751504,5
1721797598.783807754,6
1721797599.999863386,7
1721797601.151895284,8
1721797602.319994926,9
1721797603.408056497,10
1721797604.544099330,11
1721797605.600161314,12
1721797605.824142217,13
1721797606.336191892,14
1721797607.472250938,15
1721797608.512307167,16
1721797608.640281438,17
1721797608.768292188,18
1721797608.896289825,19
1721797610.16359329,20
1721797612.32483816,21
1721797613.104536771,22
1721797614.160587549,23
1721797615.184641599,24
1721797616.256703138,25
1721797617.296778202,26
1721797618.288805007,27
1721797619.88842868,28
1721797619.872884035,29
1721797620.560934066,30
1721797621.216966152,31
1721797621.840996503,32
1721797622.465013265,33
1721797623.41050910,34
1721797623.553075551,35
1721797624.81113576,36
1721797624.609152078,37
1721797625.153161048,38
1721797625.681192636,39
1721797626.145168781,40
1721797626.513222217,41
1721797626.737226486,42
1721797627.105259656,43
1721797627.313278675,44
1721797627.633277893,45
1721797627.953283309,46
1721797628.241339445,47
1721797628.561322689,48
1721797628.817341327,49
1721797629.89363098,50
1721797629.393380880,51
1721797629.649394989,52
1721797629.937413215,53
1721797630.193423509,54
1721797630.449419736,55
1721797630.705424785,56
1721797630.945457220,57
1721797631.217487096,58
1721797631.473487138,59
1721797631.713496208,60
1721797631.953500270,61
1721797632.177508115,62
1721797632.401522397,63
1721797632.865560531,64
1721797633.121577501,65
1721797633.393592357,66
1721797633.617591857,67
1721797633.841597080,68
1721797634.81618785,69
1721797634.305634498,70
1721797634.529639959,71
1721797634.753637790,72
1721797634.945679426,73
1721797635.153676986,74
1721797635.345691680,75
1721797635.569720268,76
1721797635.729722023,77
1721797636.33733367,78
1721797636.321746349,79
1721797636.593738317,80
1721797636.849766254,81
1721797637.105772018,82
1721797637.313793182,83
1721797637.649823188,84
1721797638.33841371,85
1721797638.513893365,86
1721797639.73894977,87
1721797639.665916204,88
1721797640.289949178,89
1721797640.865967035,90
1721797641.282015323,91
1721797641.457982540,92
1721797641.810011863,93
1721797642.274066209,94
1721797642.706059932,95
1721797643.74099779,96
1721797643.410114526,97
1721797643.714126825,98
1721797644.82154273,99
1721797644.402167558,100
1721797644.674150943,101
1721797644.914164781,102
1721797645.122208833,103
1721797645.346224784,104
1721797645.586251020,105
1721797645.794253587,106
1721797646.18244981,107
1721797646.210244178,108
1721797646.418287038,109
1721797646.610255002,110
1721797646.802272796,111
1721797646.994286537,112
1721797647.186287879,113
1721797647.362354516,114
1721797647.570307731,115
1721797647.778336286,116
1721797647.954324483,117
1721797648.162345170,118
1721797648.370377540,119
1721797648.610373735,120
1721797648.850387096,121
1721797649.74407100,122
1721797649.314436197,123
1721797649.554414749,124
1721797650.226490020,125
1721797651.74481010,126
1721797651.746547698,127
1721797652.514581680,128
1721797653.202618837,129
1721797653.938641309,130
1721797654.690691471,131
